round,contri
1,0.49999999999988676
2,0.34767212353404353
3,0.4967726523297183
4,1.0
5,1.0
6,0.5011654762142825
7,1.0
8,0.45042436380343925
9,0.5067446417316681
10,0
11,0.4984479443172165
12,0.4999873476553106
13,0.4999999470192811
14,0.5165289254349705
15,0.5013288537778012
16,0.495248769884267
17,0.5330205005153006
18,0.4630180809224221
19,0
20,1.0
21,0.4946721853837181
22,0.5041275587868486
23,0
24,0.4907944543934047
25,0.49945355470338626
26,0.5228437943814016
27,0.514097570236591
28,0.4778663647449193
29,0.5028766532190982
30,0.504618626119892
31,0.4688603445997371
32,0.5185391497202079
33,0.4988358517113868
34,0.45481543878032654
35,0.4979102507456806
36,0.5031986302855346
37,0.5163210595018285
38,0.5147886208175265
39,0.4867697827919377
40,0.4846767809854667
41,0.5086504896656456
42,0.47959497261394435
43,0.4636465050941209
44,0.48854263504665957
45,0.5491433164009177
46,0.4669201067372038
47,0.5072267895862249
48,0.4907979780611022
49,0.5097494009001862
50,0.495529223978831
51,0.5068217902399874
52,0.49590737121665296
53,0
54,0.48946566531780783
55,0.48059365854795955
56,0.534226424643579
57,0.48630250257423857
58,0.4802140773679678
59,0.5162072070232149
60,0.4944600620478518
61,0.5020273208529874
62,0.5025905088945499
63,0.5039943763570498
64,0.49762842938479035
